Month,Location,Country,Sales_Manager,Salesman,Customer,Cust_Type,Product,Sale,Cost,Profit
31-Jan-23,"Doha, Qatar",Qatar,Shabir,Damodaran,Rikks,Hotels,1L Reg-2,"580,104","191,869","388,235"
31-Jan-23,"Dubai, UAE",UAE,Rajiv,Hussain,Al Maya SM,Supermarkets,200 ml-24,"16,698","6,304","10,394"
31-Jan-23,"Dubai, UAE",UAE,Rajiv,Hussain,Al Maya SM,Supermarkets,330 ml,"30,600","11,344","19,256"
31-Jan-23,"Dubai, UAE",UAE,Rajiv,Hussain,Al Maya SM,Supermarkets,450 L-Mint,"22,781","7,128","15,653"
31-Jan-23,"Dubai, UAE",UAE,Rajiv,Hussain,Al Maya SM,Supermarkets,Lemon 500,"41,220","14,652","26,568"
31-Jan-23,"Dubai, UAE",UAE,Rajiv,Hussain,Talal,Supermarkets,1L Reg-12,"8,892","3,775","5,117"
31-Jan-23,"Dubai, UAE",UAE,Rajiv,Hussain,Talal,Supermarkets,200 ml-24,"34,073","14,726","19,347"
31-Jan-23,"Dubai, UAE",UAE,Rajiv,Hussain,Talal,Supermarkets,330 ml,"6,750",784,"5,966"
31-Jan-23,"Dubai, UAE",UAE,Rajiv,Hussain,Talal,Supermarkets,450 L-Mint,"5,518","1,596","3,922"
31-Jan-23,"Dubai, UAE",UAE,Rajiv,Riaz,Zahrat,Supermarkets,450 L-Mint,"10,935","4,121","6,814"
31-Jan-23,"Dubai, UAE",UAE,Rajiv,Saeed,National SM,Supermarkets,330 ml,"11,756","3,960","7,796"
31-Jan-23,"Dubai, UAE",UAE,Rajiv,Saeed,National SM,Supermarkets,450 L-Mint,"15,694","3,416","12,278"
31-Jan-23,"Dubai, UAE",UAE,Rajiv,Saeed,National SM,Supermarkets,Lemon 500,"9,810","1,914","7,896"
31-Jan-23,"Dubai, UAE",UAE,Rajiv,Sathish,K.M Trading,Supermarkets,450 L-Mint,"17,061","5,420","11,640"
31-Jan-23,"Dubai, UAE",UAE,Rajiv,Vinod,Ansar Mall,Hypermarkets,450 L-Mint,"20,129","9,244","10,884"
31-Jan-23,"Dubai, UAE",UAE,Rajiv,Vinod,Dixson,Supermarkets,200 ml-24,"5,940","1,198","4,742"
31-Jan-23,"Dubai, UAE",UAE,Rajiv,Vinod,KM Trading,Supermarkets,450 L-Mint,"5,619","2,413","3,206"
31-Jan-23,"KolKata, India",India,Hassan,Dinesh,Chelsea 2,Hotels,1L Reg-12,"43,290","7,150","36,140"
31-Jan-23,"KolKata, India",India,Hassan,Dinesh,Chelsea 2,Hotels,200 ml-24,"8,828","4,780","4,048"
31-Jan-23,"KolKata, India",India,Hassan,Dinesh,Grand Mart,Supermarkets,200 ml-24,"77,831","26,003","51,828"
31-Jan-23,"KolKata, India",India,Hassan,Dinesh,Grand Mart,Supermarkets,330 ml,"21,251","7,821","13,430"
31-Jan-23,"KolKata, India",India,Hassan,Dinesh,Grand Mart,Supermarkets,450 L-Mint,"22,174","7,425","14,749"
31-Jan-23,"KolKata, India",India,Hassan,Dinesh,Grand Mart,Supermarkets,Lemon 500,"27,531","8,692","18,839"
31-Jan-23,"KolKata, India",India,Hassan,Jamil,Al Manama,Supermarkets,200 ml-24,"31,878","12,439","19,439"
31-Jan-23,"KolKata, India",India,Hassan,Jamil,Al Manama,Supermarkets,330 ml,"121,568","35,327","86,241"
31-Jan-23,"KolKata, India",India,Hassan,Jamil,Choithram,Supermarkets,330 ml,"179,325","57,833","121,493"
31-Jan-23,"Kuwait, Kuwait",Kuwait,Jayson,Rao,Pic-N-Save,Supermarkets,330 ml,"6,469","1,980","4,489"
31-Jan-23,"Manama, Bahrain",Bahrain,Tahir,Noufal,Al Hadeer,Supermarkets,450 L-Mint,"5,670","1,968","3,702"
31-Jan-23,"Manama, Bahrain",Bahrain,Tahir,Noufal,Grand SM,Supermarkets,200 ml-24,"41,720","13,001","28,719"
31-Jan-23,"Manama, Bahrain",Bahrain,Tahir,Noufal,Grand SM,Supermarkets,330 ml,"13,759","4,991","8,768"
31-Jan-23,"Manama, Bahrain",Bahrain,Tahir,Noufal,Grand SM,Supermarkets,450 L-Mint,"48,752","16,484","32,268"
31-Jan-23,"Manama, Bahrain",Bahrain,Tahir,Noufal,Grand SM,Supermarkets,Lemon 500,"72,270","20,328","51,942"
31-Jan-23,"Mumbai, India",India,Kapil,Bilal,City Group,Supermarkets,200 ml-24,"15,164","5,566","9,598"
31-Jan-23,"Mumbai, India",India,Kapil,Bilal,Mars Intl,Supermarkets,450 L-Mint,"12,201","5,056","7,144"
31-Jan-23,"Mumbai, India",India,Kapil,Latifa,Army Coop,Hypermarkets,450 L-Mint,"11,391","1,782","9,609"
31-Jan-23,"Mumbai, India",India,Kapil,Rajesh,Fatima SM,Supermarkets,Lemon 500,"19,530","7,062","12,468"
31-Jan-23,"Mumbai, India",India,Kapil,RajKumar,Alam SM,Supermarkets,450 Lemon,"7,584","4,002","3,582"
31-Jan-23,"Mumbai, India",India,Kapil,RajKumar,Alam SM,Supermarkets,450 L-Mint,"5,569","2,302","3,267"
31-Jan-23,"Mumbai, India",India,Kapil,RajKumar,Choitram,Supermarkets,200 ml-24,"9,405","1,815","7,590"
31-Jan-23,"Mumbai, India",India,Kapil,RajKumar,Choitram,Supermarkets,330 ml,"81,439","28,743","52,696"
31-Jan-23,"Mumbai, India",India,Kapil,RajKumar,Choitram,Supermarkets,450 Lemon,"23,753","8,175","15,578"
31-Jan-23,"Mumbai, India",India,Kapil,RajKumar,Choitram,Supermarkets,450 L-Mint,"42,798","12,504","30,295"
31-Jan-23,"Mumbai, India",India,Kapil,RajKumar,Choitram,Supermarkets,Lemon 500,"30,393","6,950","23,443"
31-Jan-23,"Mumbai, India",India,Kapil,RajKumar,Union Co-Op,Supermarkets,450 L-Mint,"100,440","39,427","61,013"
31-Jan-23,"Mumbai, India",India,Kapil,RajKumar,Union Co-Op,Supermarkets,Lemon 500,"20,250","7,986","12,264"
31-Jan-23,"Muscat, Oman",Oman,Srini,Prasad,Al-Wafa,Supermarkets,330 ml,"47,408","18,224","29,183"
31-Jan-23,"Muscat, Oman",Oman,Srini,Prasad,Al-Wafa,Supermarkets,450 L-Mint,"10,733","4,307","6,426"
31-Jan-23,"Muscat, Oman",Oman,Srini,Prasad,Al-Wafa,Supermarkets,Lemon 500,"9,630","2,706","6,924"
31-Jan-23,"Muscat, Oman",Oman,Srini,Saif,Geant,Hypermarkets,450 Lemon,"124,365","42,842","81,523"
31-Jan-23,"Muscat, Oman",Oman,Srini,Saif,Geant,Hypermarkets,450 L-Mint,"38,728","14,330","24,398"
31-Jan-23,"Muscat, Oman",Oman,Srini,Saif,Geant,Hypermarkets,4L Gallon,"28,856","11,151","17,705"
31-Jan-23,"Muscat, Oman",Oman,Srini,Satyan,Rio,Hotels,330 ml,"161,100","58,328","102,773"
31-Jan-23,"Salmiya, Kuwait",Kuwait,Tahir,Saqib,J-Mart SM,Groceries & Shops,200 ml-24,"20,576","3,836","16,740"
31-Jan-23,"Salmiya, Kuwait",Kuwait,Tahir,Saqib,J-Mart SM,Groceries & Shops,330 ml,"49,781","14,974","34,808"
31-Jan-23,"Salmiya, Kuwait",Kuwait,Tahir,Saqib,J-Mart SM,Groceries & Shops,450 L-Mint,"39,842","12,363","27,479"
31-Jan-23,"Salmiya, Kuwait",Kuwait,Tahir,Saqib,J-Mart SM,Groceries & Shops,Lemon 500,"9,990","4,950","5,040"
31-Jan-23,"Sharjah, UAE",UAE,Azeez,Cleo,Al Ahli,Supermarkets,200 ml-24,"57,305","16,571","40,734"
31-Jan-23,"Sharjah, UAE",UAE,Azeez,Cleo,Al Ahli,Supermarkets,330 ml,"103,579","33,239","70,340"
31-Jan-23,"Sharjah, UAE",UAE,Azeez,Murali,Phoenix,Hotels,330 ml,"104,569","33,371","71,198"
31-Jan-23,"Sharjah, UAE",UAE,Azeez,Naeem,Emir Ctrg,Hotels,330 ml,"221,231","67,691","153,540"
31-Jan-23,"Sharjah, UAE",UAE,Azeez,Naeem,Zeenath,Supermarkets,200 ml-24,"5,891","2,432","3,458"
31-Jan-23,"Sharjah, UAE",UAE,Azeez,Naeem,Zeenath,Supermarkets,4L Gallon,"17,775","5,809","11,966"
31-Jan-23,"Sharjah, UAE",UAE,Azeez,Neeraj,Amber,Supermarkets,330 ml,"18,394","4,331","14,063"
28-Feb-23,"Abu Dhabi, UAE",UAE,Nijoe,Kabir,Families Co,Supermarkets,330 ml,"97,539","28,586","68,953"
28-Feb-23,"Abu Dhabi, UAE",UAE,Nijoe,Kabir,Families Co,Supermarkets,450 L-Mint,"4,475","2,376","2,099"
28-Feb-23,"Abu Dhabi, UAE",UAE,Nijoe,Kat,Rotana,Hotels,Partner C-Top,"23,087","10,097","12,990"
28-Feb-23,"Abu Dhabi, UAE",UAE,Nijoe,Malik,Mohideen,Supermarkets,200 ml-24,"61,819","25,791","36,028"
28-Feb-23,"Abu Dhabi, UAE",UAE,Nijoe,Malik,Mohideen,Supermarkets,200 ml-36,"10,355","3,416","6,939"
28-Feb-23,"Abu Dhabi, UAE",UAE,Nijoe,Rehmat,E-Mart,Supermarkets,330 ml,"14,030","4,142","9,889"
28-Feb-23,"Abu Dhabi, UAE",UAE,Nijoe,Rehmat,E-Mart,Supermarkets,450 Lemon,"33,082","14,405","18,677"
28-Feb-23,"Abu Dhabi, UAE",UAE,Nijoe,Rehmat,E-Mart,Supermarkets,450 L-Mint,"18,735","7,351","11,384"
28-Feb-23,"Abu Dhabi, UAE",UAE,Nijoe,Rehmat,E-Mart,Supermarkets,Lemon 500,"6,365","1,637","4,728"
28-Feb-23,"Abu Dhabi, UAE",UAE,Nijoe,Rehmat,Shaklan,Hypermarkets,1.5 L,"6,893","4,043","2,851"
28-Feb-23,"Abu Dhabi, UAE",UAE,Nijoe,Rehmat,Shaklan,Hypermarkets,1L Reg-12,"265,296","94,437","170,859"
28-Feb-23,"Abu Dhabi, UAE",UAE,Nijoe,Shibhu,York Intl,Hotels,1L Reg-12,"18,759","11,869","6,890"
28-Feb-23,"Abu Dhabi, UAE",UAE,Nijoe,Shibhu,York Intl,Hotels,StrawB 500,"6,274","3,176","3,098"
28-Feb-23,"Abu Dhabi, UAE",UAE,Nijoe,Siddique,Al-Ain SM,Supermarkets,4L Gallon,"4,973","2,351","2,621"
28-Feb-23,"Abu Dhabi, UAE",UAE,Nijoe,Siddique,New Era,Supermarkets,1L Reg-12,"32,076","14,529","17,547"
28-Feb-23,"Abu Dhabi, UAE",UAE,Nijoe,Siddique,New Era,Supermarkets,200 ml-24,"5,105",690,"4,415"
28-Feb-23,"Abu Dhabi, UAE",UAE,Nijoe,Siddique,New Era,Supermarkets,330 ml,"5,850","1,361","4,489"
28-Feb-23,"Abu Dhabi, UAE",UAE,Nijoe,Winnie,Aswaaq,Supermarkets,450 L-Mint,"39,444","18,006","21,438"
28-Feb-23,"Abu Dhabi, UAE",UAE,Nijoe,Winnie,Aswaaq,Supermarkets,4L Gallon,"5,070","2,228","2,843"
28-Feb-23,"Abu Dhabi, UAE",UAE,Nijoe,Yosuf,Sunrise,Supermarkets,330 ml,"42,890","20,204","22,686"
28-Feb-23,"Abu Dhabi, UAE",UAE,Nijoe,Yosuf,Sunrise,Supermarkets,450 L-Mint,"5,949","2,851","3,098"
28-Feb-23,"Abu Dhabi, UAE",UAE,Nijoe,Yosuf,Sunrise,Supermarkets,Lemon 500,"5,054","2,534","2,520"
28-Feb-23,"Al Ain, UAE",UAE,Mukul,Shabbir,City Mart,Supermarkets,450 L-Mint,"4,739","2,822","1,917"
28-Feb-23,"Banglore, India",India,Arvind,Askar,Al Madina,Supermarkets,1L Reg-12,"55,432","34,034","21,398"
28-Feb-23,"Banglore, India",India,Arvind,Askar,Al Madina,Supermarkets,330 ml,"18,623","7,994","10,628"
28-Feb-23,"Banglore, India",India,Arvind,Askar,Al Madina,Supermarkets,450 Lemon,"9,784","4,455","5,329"
28-Feb-23,"Banglore, India",India,Arvind,Askar,Al Madina,Supermarkets,Lemon 500,"12,605","3,089","9,516"
28-Feb-23,"Banglore, India",India,Arvind,Askar,Al Madina,Supermarkets,Partner H&C,"11,287","3,762","7,525"
28-Feb-23,"Banglore, India",India,Arvind,Rizwan,Wow Pinoy,Supermarkets,450 Lemon,"4,695","1,522","3,173"
28-Feb-23,"Banglore, India",India,Arvind,Shabir,UAE Coop,Supermarkets,200 ml-24,"22,222","9,051","13,171"
28-Feb-23,"Banglore, India",India,Arvind,Shabir,UAE Coop,Supermarkets,330 ml,"5,509","2,805","2,704"
28-Feb-23,"Banglore, India",India,Arvind,Shabir,UAE Coop,Supermarkets,450 L-Mint,"57,160","20,976","36,185"
28-Feb-23,"Banglore, India",India,Arvind,Shabir,UAE Coop,Supermarkets,Lemon 500,"49,920","15,774","34,146"
28-Feb-23,"Chennai, India",India,Najeeb,Majid,Arabian,Hotels,Hot & Cold,"40,147","19,182","20,965"
28-Feb-23,"Delhi, India",India,Qaseem,Kurien,Al-Ain CoOp,Hypermarkets,450 L-Mint,"30,449","13,179","17,270"
28-Feb-23,"Delhi, India",India,Qaseem,Kurien,Al-Ain CoOp,Hypermarkets,Lemon 500,"17,082","6,138","10,944"
28-Feb-23,"Delhi, India",India,Qaseem,Kurien,Hyper Panda,Hypermarkets,1L Reg-2,"7,712",866,"6,846"
28-Feb-23,"Delhi, India",India,Qaseem,Kurien,Hyper Panda,Hypermarkets,330 ml,"109,444","39,146","70,298"
28-Feb-23,"Delhi, India",India,Qaseem,Kurien,Hyper Panda,Hypermarkets,4L Gallon,"32,403","11,220","21,183"
28-Feb-23,"Delhi, India",India,Qaseem,Nazeer,Westzone,Supermarkets,330 ml,"16,790","6,584","10,206"
28-Feb-23,"Delhi, India",India,Qaseem,Nazeer,Westzone,Supermarkets,450 L-Mint,"24,263","10,432","13,831"
28-Feb-23,"Delhi, India",India,Qaseem,Nazeer,Westzone,Supermarkets,Lemon 500,"23,431","12,144","11,287"
28-Feb-23,"Delhi, India",India,Qaseem,Roman,Jyothis,Supermarkets,330 ml,"56,570","19,676","36,893"
28-Feb-23,"Doha, Qatar",Qatar,Shabir,Damodaran,Rikks,Hotels,1L Reg-2,"293,885","101,390","192,495"
28-Feb-23,"Dubai, UAE",UAE,Rajiv,Hussain,Al Maya SM,Supermarkets,200 ml-24,"21,750","6,558","15,192"
28-Feb-23,"Dubai, UAE",UAE,Rajiv,Hussain,Al Maya SM,Supermarkets,330 ml,"10,823","4,208","6,615"
28-Feb-23,"Dubai, UAE",UAE,Rajiv,Hussain,Al Maya SM,Supermarkets,450 L-Mint,"48,947","24,629","24,318"
28-Feb-23,"Dubai, UAE",UAE,Rajiv,Hussain,Al Maya SM,Supermarkets,4L Gallon,"5,509","2,063","3,446"
28-Feb-23,"Dubai, UAE",UAE,Rajiv,Hussain,Al Maya SM,Supermarkets,Lemon 500,"8,346","5,082","3,264"
28-Feb-23,"Dubai, UAE",UAE,Rajiv,Hussain,Talal,Supermarkets,1L Reg-12,"11,560","4,719","6,841"
28-Feb-23,"Dubai, UAE",UAE,Rajiv,Hussain,Talal,Supermarkets,200 ml-24,"15,158","5,203","9,955"
28-Feb-23,"Dubai, UAE",UAE,Rajiv,Hussain,Talal,Supermarkets,330 ml,"5,606","2,516","3,090"
28-Feb-23,"Dubai, UAE",UAE,Rajiv,Hussain,Talal,Supermarkets,450 L-Mint,"9,609","3,490","6,119"
28-Feb-23,"Dubai, UAE",UAE,Rajiv,Riaz,Zahrat,Supermarkets,200 ml-24,"6,564","2,124","4,440"
28-Feb-23,"Dubai, UAE",UAE,Rajiv,Saeed,National SM,Supermarkets,450 L-Mint,"4,431","2,376","2,055"
28-Feb-23,"Dubai, UAE",UAE,Rajiv,Saeed,National SM,Supermarkets,Lemon 500,"4,914","2,455","2,459"
28-Feb-23,"Dubai, UAE",UAE,Rajiv,Sathish,K.M Trading,Supermarkets,450 L-Mint,"10,355","2,784","7,570"
28-Feb-23,"Dubai, UAE",UAE,Rajiv,Sathish,K.M Trading,Supermarkets,Lemon 500,"8,034","2,904","5,130"
28-Feb-23,"Dubai, UAE",UAE,Rajiv,Vinod,Ansar Mall,Hypermarkets,200 ml-24,"6,464","1,936","4,528"
28-Feb-23,"Dubai, UAE",UAE,Rajiv,Vinod,Ansar Mall,Hypermarkets,450 L-Mint,"4,870",668,"4,202"
28-Feb-23,"KolKata, India",India,Hassan,Dinesh,Chelsea 2,Hotels,1L Reg-12,"30,555","5,491","25,064"
28-Feb-23,"KolKata, India",India,Hassan,Dinesh,Grand Mart,Supermarkets,200 ml-24,"52,603","18,900","33,702"
28-Feb-23,"KolKata, India",India,Hassan,Dinesh,Grand Mart,Supermarkets,330 ml,"6,786","3,515","3,272"
28-Feb-23,"KolKata, India",India,Hassan,Dinesh,Grand Mart,Supermarkets,450 Lemon,"9,126","3,490","5,636"
28-Feb-23,"KolKata, India",India,Hassan,Dinesh,Grand Mart,Supermarkets,450 L-Mint,"24,965","11,769","13,196"
28-Feb-23,"KolKata, India",India,Hassan,Jamil,Al Manama,Supermarkets,200 ml-24,"21,007","9,087","11,920"
28-Feb-23,"KolKata, India",India,Hassan,Jamil,Al Manama,Supermarkets,330 ml,"91,894","36,878","55,016"
28-Feb-23,"KolKata, India",India,Hassan,Jamil,Choithram,Supermarkets,330 ml,"208,894","81,675","127,219"
28-Feb-23,"Kuwait, Kuwait",Kuwait,Jayson,Rao,Pic-N-Save,Supermarkets,450 L-Mint,"5,002",965,"4,037"
28-Feb-23,"Kuwait, Kuwait",Kuwait,Jayson,Rao,Pic-N-Save,Supermarkets,Lemon 500,"5,429",673,"4,756"
28-Feb-23,"Manama, Bahrain",Bahrain,Tahir,Noufal,Al Hadeer,Supermarkets,450 L-Mint,"5,177","2,784","2,393"
28-Feb-23,"Manama, Bahrain",Bahrain,Tahir,Noufal,Grand SM,Supermarkets,200 ml-24,"51,394","24,224","27,170"
28-Feb-23,"Manama, Bahrain",Bahrain,Tahir,Noufal,Grand SM,Supermarkets,330 ml,"10,823","1,939","8,884"
28-Feb-23,"Manama, Bahrain",Bahrain,Tahir,Noufal,Grand SM,Supermarkets,450 L-Mint,"37,469","14,182","23,288"
28-Feb-23,"Manama, Bahrain",Bahrain,Tahir,Noufal,Grand SM,Supermarkets,Lemon 500,"17,706","5,412","12,294"
28-Feb-23,"Mumbai, India",India,Kapil,Bilal,Mars Intl,Supermarkets,450 L-Mint,"9,696","2,190","7,506"
28-Feb-23,"Mumbai, India",India,Kapil,Bilal,Mars Intl,Supermarkets,Lemon 500,"11,138","6,653","4,486"
28-Feb-23,"Mumbai, India",India,Kapil,Latifa,Army Coop,Hypermarkets,450 L-Mint,"4,695","1,225","3,470"
28-Feb-23,"Mumbai, India",India,Kapil,Latifa,Army Coop,Hypermarkets,Lemon 500,"14,531","3,333","11,198"
28-Feb-23,"Mumbai, India",India,Kapil,Rajesh,Fatima SM,Supermarkets,Lemon 500,"8,502","4,620","3,882"
28-Feb-23,"Mumbai, India",India,Kapil,RajKumar,Choitram,Supermarkets,1L Reg-2,"4,687","2,618","2,069"
28-Feb-23,"Mumbai, India",India,Kapil,RajKumar,Choitram,Supermarkets,200 ml-24,"9,481","2,360","7,121"
28-Feb-23,"Mumbai, India",India,Kapil,RajKumar,Choitram,Supermarkets,330 ml,"45,045","19,313","25,732"
28-Feb-23,"Mumbai, India",India,Kapil,RajKumar,Choitram,Supermarkets,450 Lemon,"15,181","6,608","8,573"
28-Feb-23,"Mumbai, India",India,Kapil,RajKumar,Choitram,Supermarkets,450 L-Mint,"24,307","11,472","12,835"
28-Feb-23,"Mumbai, India",India,Kapil,RajKumar,Choitram,Supermarkets,Lemon 500,"16,848","6,798","10,050"
28-Feb-23,"Mumbai, India",India,Kapil,RajKumar,Union Co-Op,Supermarkets,450 L-Mint,"83,275","32,262","51,013"
28-Feb-23,"Mumbai, India",India,Kapil,RajKumar,Union Co-Op,Supermarkets,Lemon 500,"26,286","6,798","19,488"
28-Feb-23,"Muscat, Oman",Oman,Srini,Prasad,Al-Wafa,Supermarkets,200 ml-24,"5,062","3,013","2,049"
28-Feb-23,"Muscat, Oman",Oman,Srini,Prasad,Al-Wafa,Supermarkets,330 ml,"33,257","12,350","20,907"
28-Feb-23,"Muscat, Oman",Oman,Srini,Prasad,Al-Wafa,Supermarkets,450 L-Mint,"9,565","4,084","5,481"
28-Feb-23,"Muscat, Oman",Oman,Srini,Prasad,Al-Wafa,Supermarkets,Lemon 500,"5,569",911,"4,658"
28-Feb-23,"Muscat, Oman",Oman,Srini,Saif,Geant,Hypermarkets,450 Lemon,"120,130","43,548","76,582"
28-Feb-23,"Muscat, Oman",Oman,Srini,Saif,Geant,Hypermarkets,450 L-Mint,"43,217","11,657","31,560"
28-Feb-23,"Muscat, Oman",Oman,Srini,Saif,Geant,Hypermarkets,4L Gallon,"32,744","10,134","22,610"
28-Feb-23,"Muscat, Oman",Oman,Srini,Satyan,Rio,Hotels,330 ml,"217,620","88,976","128,644"
28-Feb-23,"Muscat, Oman",Oman,Srini,Satyan,Rio,Hotels,StrawB 500,"5,523","2,450","3,073"
28-Feb-23,"Salmiya, Kuwait",Kuwait,Tahir,Saqib,J-Mart SM,Groceries & Shops,200 ml-24,"84,041","30,286","53,755"
28-Feb-23,"Salmiya, Kuwait",Kuwait,Tahir,Saqib,J-Mart SM,Groceries & Shops,330 ml,"21,060","7,343","13,718"
28-Feb-23,"Salmiya, Kuwait",Kuwait,Tahir,Saqib,J-Mart SM,Groceries & Shops,450 L-Mint,"20,577","4,566","16,011"
28-Feb-23,"Sharjah, UAE",UAE,Azeez,Alve,Farmer's,Hypermarkets,450 L-Mint,"5,265","2,153","3,112"
28-Feb-23,"Sharjah, UAE",UAE,Azeez,Cleo,Al Ahli,Supermarkets,200 ml-24,"23,202","10,394","12,808"
28-Feb-23,"Sharjah, UAE",UAE,Azeez,Cleo,Al Ahli,Supermarkets,330 ml,"96,632","33,248","63,385"
28-Feb-23,"Sharjah, UAE",UAE,Azeez,Cleo,Al Ahli,Supermarkets,Lemon 500,"8,580","1,980","6,600"
28-Feb-23,"Sharjah, UAE",UAE,Azeez,Murali,Phoenix,Hotels,330 ml,"59,787","26,012","33,775"
28-Feb-23,"Sharjah, UAE",UAE,Azeez,Naeem,Emir Ctrg,Hotels,330 ml,"209,625","77,715","131,910"
28-Feb-23,"Sharjah, UAE",UAE,Azeez,Naeem,Zeenath,Supermarkets,450 L-Mint,"4,431","1,708","2,724"
28-Feb-23,"Sharjah, UAE",UAE,Azeez,Neeraj,Amber,Supermarkets,330 ml,"4,924",825,"4,099"
